,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.0188740844721482,0.048127205568450661,1.9258518217485354,1.9861562551701981,2.0184738546005385,2.0511078508492564,2.1153151450199319,0.00045632004421489658
a_std,0.29372615208003577,0.037931681303143068,0.23051290302185465,0.26670513311024535,0.29053601125989298,0.31639630038617395,0.37867839786449464,0.0003632727434051052
a_subj.501,1.89677902321159,0.052558291320052512,1.7965944529244209,1.8611452506368966,1.8954017709351982,1.9314823018879781,2.002695847219548,0.00057937645391781885
a_subj.502,1.8906936094132469,0.051957346735475821,1.7908697704597047,1.8557817492798407,1.8896758166152789,1.924749703212721,1.995709082206351,0.00043057153530502089
a_subj.503,1.9530697403093353,0.055133697617126033,1.8495158192125378,1.9152329056785278,1.9516980171667988,1.9894831267126274,2.0647107662110549,0.00047425616507060301
a_subj.504,1.6720574027103527,0.048395752794863613,1.5811234385066244,1.6385307052324691,1.6707846211355646,1.7046357301584778,1.7709952243513614,0.00041292344945025332
a_subj.505,1.9443581114869539,0.055938061680220745,1.8386824183528652,1.9063238416015795,1.9431403403747023,1.9807677794613336,2.05820024513178,0.00051469449876483174
a_subj.506,2.1349417904513559,0.059487215236274274,2.0227648665045534,2.0934719610615873,2.1341484954298164,2.1747673332254753,2.2539661987035959,0.00051209202626240568
a_subj.507,1.7361851577725369,0.050024193148132008,1.6410336995791748,1.7017006172021714,1.7352751268533986,1.7683540193518064,1.8386607165711748,0.00046834929293977499
a_subj.508,2.0288318607889089,0.056752593864387253,1.9206376776187515,1.9902289796549577,2.0274350560369405,2.0662373145922648,2.1448835818004088,0.00054722776563924445
a_subj.509,1.9320561062925024,0.057681942416857583,1.8228479517255036,1.8921245775466013,1.9305783805521273,1.9694996232387589,2.0483275893661661,0.00058090492887665445
a_subj.510,2.5159834551745486,0.075147439426545129,2.3738306115699706,2.4645564158169266,2.5149232446853254,2.5658388541431796,2.6656851231061136,0.00067625424859295204
a_subj.511,2.1031059033920259,0.060461373367246871,1.9874583951441107,2.0620665538773721,2.1013501285420695,2.1434721344597265,2.2257085747949454,0.0005724304662884875
a_subj.512,1.7758377974544051,0.049013204398069762,1.6813697279669073,1.74281833381318,1.7745002957001945,1.8079428464863243,1.8751046174556589,0.00045383898831076263
