subj_idx,stim,response,rt,condition,MotCon,block
1,-0.5,0,0.7274,-1,1,7
1,0.0,0,1.2589,-1,1,7
1,0.0,0,1.2400,-1,1,7
1,0.0,0,0.6713,-1,1,7
1,0.0,0,0.7872,-1,1,7
1,-0.5,0,0.6514,-1,1,7
1,0.0,0,0.7996,-1,1,7
1,0.0,1,1.5230,-1,-1,7
1,0.0,0,2.4240,-1,1,7
1,0.0,0,1.2639,-1,1,7
1,0.0,0,1.3813,-1,1,7
1,0.0,1,1.0429,-1,-1,7
1,0.0,0,1.0143,-1,1,7
1,1.5,1,0.6992,-1,-1,7
1,0.0,0,0.5721,-1,1,7
1,-1.5,0,0.6944,-1,1,7
1,0.0,0,1.1118,1,-1,8
1,1.5,1,1.2235,1,1,8
1,0.5,1,1.2612,1,1,8
1,0.0,0,0.9655,1,-1,8
1,0.0,0,0.9519,1,-1,8
1,0.0,1,1.3736,1,1,8
1,-1.5,0,0.5254,1,-1,8
1,0.0,0,0.6147,1,-1,8
1,0.0,0,0.8226,1,-1,8
1,1.5,1,0.8065,1,1,8
1,-0.5,0,0.6716,1,-1,8
1,0.0,0,0.8028,1,-1,8
1,0.0,0,0.6709,1,-1,8
1,0.0,0,1.8610,1,-1,8
1,-0.5,1,1.7649,1,1,8
1,0.0,1,1.0126,1,1,8
1,0.5,1,0.9611,1,1,8
1,0.0,1,0.8342,1,1,8
1,0.0,0,1.3401,1,-1,8
1,0.0,0,0.6557,1,-1,8
1,0.0,1,1.5794,1,1,8
1,-0.5,0,0.6825,1,-1,8
1,0.0,1,1.1289,1,1,8
1,0.0,1,1.4345,1,1,8
1,-1.5,1,1.0390,1,1,8
1,0.0,0,1.2475,0,0,9
1,-0.5,0,1.0996,0,0,9
1,0.0,1,1.1242,0,0,9
1,0.0,1,1.2343,0,0,9
1,0.5,1,1.0759,0,0,9
1,0.0,0,1.4608,0,0,9
1,0.0,1,1.3066,0,0,9
1,0.0,0,0.8720,0,0,9
1,0.0,1,1.3052,0,0,9
1,0.0,1,1.0021,0,0,9
1,0.0,0,1.9820,0,0,9
1,0.0,0,0.8321,0,0,9
1,0.0,0,1.1528,0,0,9
1,0.0,0,1.5398,0,0,9
1,1.5,1,0.9023,0,0,9
1,0.0,0,1.1153,0,0,9
1,0.0,0,2.0052,0,0,9
1,-0.5,0,0.8556,0,0,9
1,-1.5,0,0.7901,0,0,9
1,-0.5,0,0.6941,0,0,9
1,0.5,0,0.9486,0,0,9
1,0.0,1,0.9616,0,0,9
1,1.5,0,0.7122,0,0,9
1,-1.5,0,0.7384,0,0,9
1,0.0,1,1.3409,0,0,9
1,0.0,1,1.2039,1,1,10
1,0.0,1,1.3803,1,1,10
1,0.0,1,1.5552,1,1,10
1,0.5,1,0.9166,1,1,10
1,-1.5,0,0.8394,1,-1,10
1,-1.5,0,0.7044,1,-1,10
1,0.5,1,1.9603,1,1,10
1,0.0,1,1.0135,1,1,10
1,0.0,1,0.9376,1,1,10
1,0.0,1,1.8047,1,1,10
1,0.5,1,1.3061,1,1,10
1,1.5,1,0.6916,1,1,10
1,0.0,1,0.9459,1,1,10
1,0.0,1,1.6211,1,1,10
1,1.5,1,0.7485,1,1,10
1,0.0,1,1.1476,1,1,10
1,0.0,1,2.0886,1,1,10
1,0.0,1,0.9571,1,1,10
1,0.0,1,1.0060,1,1,10
1,0.0,1,0.8037,1,1,10
1,-0.5,0,0.8719,1,-1,10
1,-0.5,0,0.7739,1,-1,10
1,0.0,0,2.0730,1,-1,10
1,0.0,1,1.2874,1,1,10
1,0.0,0,1.1071,1,-1,10
1,-0.5,1,1.0015,0,0,11
1,0.0,1,0.9059,0,0,11
1,0.0,0,0.8275,0,0,11
1,1.5,1,0.9880,0,0,11
1,0.5,1,1.5659,0,0,11
1,0.0,1,1.3262,0,0,11
1,0.0,1,1.7765,0,0,11
1,0.0,1,0.9672,0,0,11
1,-0.5,0,0.9189,0,0,11
1,0.0,1,0.8962,0,0,11
1,1.5,0,0.8800,0,0,11
1,-1.5,0,1.2176,0,0,11
1,0.0,1,1.4819,0,0,11
1,0.0,1,1.5563,0,0,11
1,0.0,0,0.9269,0,0,11
1,0.0,1,1.4391,0,0,11
1,0.0,0,1.0048,0,0,11
1,0.0,0,0.9638,0,0,11
1,0.5,1,1.2992,0,0,11
1,0.0,0,1.6501,0,0,11
1,0.0,0,1.5131,0,0,11
1,0.0,0,2.2228,0,0,11
1,0.0,0,1.6076,0,0,11
1,0.5,1,1.6395,0,0,11
1,-1.5,0,0.7806,0,0,11
1,0.0,0,1.1870,-1,1,12
1,0.0,1,1.2193,-1,-1,12
1,0.5,1,0.9431,-1,-1,12
1,-0.5,0,0.8693,-1,1,12
1,0.0,0,0.6129,-1,1,12
1,0.0,1,0.9848,-1,-1,12
1,-0.5,0,1.6647,-1,1,12
1,1.5,1,1.1835,-1,-1,12
1,0.0,1,1.1960,-1,-1,12
1,0.5,1,0.8183,-1,-1,12
1,0.0,0,2.4309,-1,1,12
1,0.0,0,1.0492,-1,1,12
1,0.0,1,1.1332,-1,-1,12
1,0.0,0,0.8940,-1,1,12
1,0.0,1,1.5284,-1,-1,12
1,0.0,0,0.7368,-1,1,12
1,0.0,0,0.7991,-1,1,12
1,0.0,1,1.4188,-1,-1,12
1,0.0,1,1.1407,-1,-1,12
1,0.0,1,1.0496,-1,-1,12
1,-1.5,0,1.5757,-1,1,12
1,1.5,1,1.5207,-1,-1,12
1,0.5,1,0.8448,-1,-1,12
1,0.0,0,0.8542,-1,1,12
1,-1.5,0,0.7609,-1,1,12
2,0.0,1,0.6544,0,0,1
2,0.0,0,0.5600,0,0,1
2,0.0,1,0.7118,0,0,1
2,1.5,1,0.7274,0,0,1
2,0.0,1,0.5912,0,0,1
2,-1.5,0,0.4568,0,0,1
2,0.5,1,0.6949,0,0,1
2,0.0,1,1.0268,0,0,1
2,0.0,1,1.0646,0,0,1
2,0.0,0,0.9667,0,0,1
2,-0.5,1,0.8546,0,0,1
2,0.0,0,0.7318,0,0,1
2,-1.5,0,0.9719,0,0,1
2,0.0,1,0.8037,0,0,1
2,0.0,0,1.2529,0,0,1
2,1.5,1,0.6624,0,0,1
2,0.0,1,0.7555,0,0,1
2,0.0,1,0.7698,0,0,1
2,-0.5,1,1.0669,0,0,1
2,0.0,0,0.7593,0,0,1
2,0.0,1,1.1362,0,0,1
2,0.5,1,0.7198,0,0,1
2,0.5,1,0.8355,0,0,1
2,0.0,1,0.7111,0,0,1
2,0.0,0,0.7463,0,0,1
2,0.0,1,0.8370,1,1,2
2,0.0,0,0.9033,1,-1,2
2,0.0,0,0.8742,1,-1,2
2,1.5,1,0.7500,1,1,2
2,0.0,1,1.3897,1,1,2
2,0.0,1,0.9275,1,1,2
2,0.0,1,1.5158,1,1,2
2,0.0,0,1.9826,1,-1,2
2,0.0,1,0.8446,1,1,2
2,0.0,1,1.2326,1,1,2
2,-1.5,0,0.6091,1,-1,2
2,0.0,1,1.0200,1,1,2
2,0.0,1,1.1798,1,1,2
2,0.0,1,1.5522,1,1,2
2,0.0,0,1.3002,1,-1,2
2,0.0,1,1.3994,1,1,2
2,0.0,0,0.7633,1,-1,2
2,0.5,1,1.2744,1,1,2
2,-1.5,0,1.4001,1,-1,2
2,-0.5,0,1.0527,1,-1,2
2,1.5,1,0.8345,1,1,2
2,0.0,1,1.2521,1,1,2
2,-0.5,1,1.5256,1,1,2
2,-0.5,0,1.6273,1,-1,2
2,0.5,1,0.8492,1,1,2
2,1.5,1,0.8289,-1,-1,3
2,0.0,1,1.4578,-1,-1,3
2,0.0,0,2.0682,-1,1,3
2,0.0,1,1.4221,-1,-1,3
2,1.5,1,0.7603,-1,-1,3
2,0.0,1,0.8247,-1,-1,3
2,0.0,1,1.6244,-1,-1,3
2,-0.5,1,2.5560,-1,-1,3
2,0.5,1,0.7471,-1,-1,3
2,-0.5,1,2.5934,-1,-1,3
2,0.0,1,0.9099,-1,-1,3
2,0.0,1,1.2154,-1,-1,3
2,0.0,1,1.9703,-1,-1,3
2,-1.5,0,0.7636,-1,1,3
2,0.0,0,2.1685,-1,1,3
2,0.0,1,0.7830,-1,-1,3
2,0.5,1,1.0173,-1,-1,3
2,0.0,1,0.9204,-1,-1,3
2,0.0,1,1.0048,-1,-1,3
2,-1.5,0,0.6707,-1,1,3
2,0.0,0,2.2790,-1,1,3
2,-0.5,1,0.6779,-1,-1,3
2,0.0,1,1.0840,-1,-1,3
2,0.0,1,1.6235,-1,-1,3
2,0.0,1,0.9527,-1,-1,3
2,-1.5,0,0.8156,1,-1,4
2,0.0,1,0.9182,1,1,4
2,1.5,1,0.7057,1,1,4
2,0.0,1,0.6481,1,1,4
2,0.0,0,1.5237,1,-1,4
2,0.5,1,0.6369,1,1,4
2,0.0,0,0.8391,1,-1,4
2,0.0,0,1.7573,1,-1,4
2,-1.5,0,0.7692,1,-1,4
2,0.5,1,1.5584,1,1,4
2,0.0,1,2.0601,1,1,4
2,0.0,0,1.1618,1,-1,4
2,0.0,1,1.3681,1,1,4
2,0.0,0,0.7737,1,-1,4
2,0.0,1,0.6241,1,1,4
2,0.0,1,0.7257,1,1,4
2,0.0,1,1.4682,1,1,4
2,-0.5,0,0.6693,1,-1,4
2,0.5,0,1.0223,1,-1,4
2,0.0,1,1.6394,1,1,4
2,0.0,1,1.3199,1,1,4
2,0.0,0,0.8609,1,-1,4
2,-0.5,0,0.8426,1,-1,4
2,0.0,1,1.1675,1,1,4
2,1.5,1,0.8232,1,1,4
2,0.5,1,0.6137,-1,-1,5
2,0.0,0,0.7997,-1,1,5
2,0.5,0,1.0918,-1,1,5
2,0.0,1,2.1094,-1,-1,5
2,0.0,0,0.9921,-1,1,5
2,-1.5,0,0.7568,-1,1,5
2,0.0,0,1.0978,-1,1,5
2,-0.5,0,0.6370,-1,1,5
2,0.0,1,0.6786,-1,-1,5
2,0.0,0,0.6611,-1,1,5
2,0.0,1,0.9833,-1,-1,5
2,0.0,1,1.2345,-1,-1,5
2,0.0,0,1.4164,-1,1,5
2,0.0,0,1.9245,-1,1,5
2,-0.5,0,1.5563,-1,1,5
2,0.0,0,2.0302,-1,1,5
2,1.5,1,0.6457,-1,-1,5
2,0.0,0,1.1681,-1,1,5
2,0.5,1,0.8925,-1,-1,5
2,0.0,0,1.4225,-1,1,5
2,0.0,0,1.1853,-1,1,5
2,-1.5,0,0.7704,-1,1,5
2,0.0,0,2.2249,-1,1,5
2,1.5,1,0.7798,-1,-1,5
2,0.0,0,1.8380,-1,1,5
2,0.0,0,1.2902,0,0,6
2,0.0,1,0.9025,0,0,6
2,-0.5,0,0.7491,0,0,6
2,0.0,0,0.9469,0,0,6
2,0.0,0,2.3690,0,0,6
2,0.0,0,1.7896,0,0,6
2,0.0,0,1.4066,0,0,6
2,1.5,1,0.7638,0,0,6
2,-0.5,0,1.2571,0,0,6
2,0.0,1,1.2108,0,0,6
2,0.0,1,0.8405,0,0,6
2,0.5,1,0.8271,0,0,6
