subj_idx,stim,response,rt,condition,MotCon,pupil,baseline
1,0.0,0,0.9014,-1,1,-0.195,0.662
1,-1.5,0,1.0018,-1,1,0.243,-0.567
1,0.0,0,1.0495,-1,1,0.250,-1.106
1,1.5,1,0.8780,-1,-1,0.223,-2.326
1,0.0,0,1.9571,-1,1,-1.468,-0.424
1,0.5,0,0.8493,-1,1,0.169,0.306
1,-1.5,0,0.6816,-1,1,0.272,-0.157
1,0.0,1,1.4274,-1,-1,-0.299,-0.126
1,1.5,1,0.8432,-1,-1,0.012,0.072
1,-0.5,0,1.1409,-1,1,-0.632,0.256
1,0.0,0,0.8112,-1,1,0.148,-0.037
1,0.0,1,2.0771,-1,-1,0.063,0.306
1,0.5,1,0.8407,-1,-1,-0.456,0.729
1,0.0,1,1.2031,-1,-1,-0.199,0.461
1,-0.5,0,0.7274,-1,1,0.087,0.172
1,0.0,0,1.2589,-1,1,-0.045,0.171
1,0.0,0,1.2400,-1,1,-0.774,0.310
1,0.0,0,0.6713,-1,1,-0.071,0.146
1,0.0,0,0.7872,-1,1,-0.029,0.672
1,-0.5,0,0.6514,-1,1,0.142,0.334
1,0.0,0,0.7996,-1,1,0.076,0.942
1,0.0,1,1.5230,-1,-1,-0.588,1.165
1,0.0,0,1.2639,-1,1,0.150,0.668
1,0.0,0,1.3813,-1,1,-0.621,1.213
1,0.0,1,1.0429,-1,-1,0.008,0.610
1,0.0,0,1.0143,-1,1,0.009,0.222
1,1.5,1,0.6992,-1,-1,-0.199,0.207
1,0.0,0,0.5721,-1,1,0.064,0.285
1,-1.5,0,0.6944,-1,1,0.339,0.296
1,0.0,0,1.1118,1,-1,-0.130,0.479
1,1.5,1,1.2235,1,1,-0.078,0.564
1,0.5,1,1.2612,1,1,0.039,0.242
1,0.0,0,0.9655,1,-1,-0.158,0.686
1,0.0,0,0.9519,1,-1,-0.436,0.688
1,-1.5,0,0.5254,1,-1,0.081,0.410
1,0.0,0,0.6147,1,-1,-0.005,0.198
1,0.0,0,0.8226,1,-1,-0.007,0.133
1,1.5,1,0.8065,1,1,-0.133,-1.282
1,0.0,0,0.8028,1,-1,-0.073,-0.687
1,0.0,0,0.6709,1,-1,-0.026,-2.724
1,0.0,0,1.8610,1,-1,-0.539,-1.400
1,-0.5,1,1.7649,1,1,-0.786,-0.585
1,0.0,1,1.0126,1,1,-0.121,-0.220
1,0.0,1,0.8342,1,1,0.688,-0.617
1,0.0,0,1.3401,1,-1,-0.333,-0.124
1,0.0,0,0.6557,1,-1,0.034,-0.266
1,0.0,1,1.5794,1,1,-0.447,0.319
1,-0.5,0,0.6825,1,-1,-0.009,-0.415
1,0.0,1,1.1289,1,1,-0.019,-0.535
1,0.0,1,1.4345,1,1,0.149,-0.597
1,-1.5,1,1.0390,1,1,0.571,-0.781
1,-0.5,0,1.0996,0,0,-0.102,0.108
1,0.0,1,1.1242,0,0,-0.269,0.471
1,0.0,1,1.2343,0,0,-0.105,-0.696
1,0.5,1,1.0759,0,0,0.087,0.850
1,0.0,0,1.4608,0,0,0.059,0.586
1,0.0,1,1.3066,0,0,-0.293,0.455
1,0.0,0,0.8720,0,0,0.036,-0.648
1,0.0,1,1.3052,0,0,-0.022,-1.707
1,0.0,1,1.0021,0,0,0.163,-1.692
1,0.0,0,1.9820,0,0,0.568,-1.883
1,0.0,0,0.8321,0,0,0.216,-0.686
1,0.0,0,1.1528,0,0,0.400,0.425
1,0.0,0,1.5398,0,0,-0.223,0.591
1,1.5,1,0.9023,0,0,-0.011,0.222
1,0.0,0,1.1153,0,0,0.445,-0.851
1,0.0,0,2.0052,0,0,0.533,-1.454
1,-0.5,0,0.8556,0,0,-0.051,-0.003
1,-1.5,0,0.7901,0,0,0.035,-1.513
1,-0.5,0,0.6941,0,0,-0.230,-0.766
1,0.5,0,0.9486,0,0,0.448,-0.251
1,0.0,1,0.9616,0,0,-0.654,0.125
1,1.5,0,0.7122,0,0,0.173,-0.170
1,-1.5,0,0.7384,0,0,-0.238,0.045
1,0.0,1,1.3409,0,0,-0.022,-0.716
1,0.0,1,1.2039,1,1,0.446,-0.238
1,0.0,1,1.3803,1,1,-0.333,0.202
1,0.0,1,1.5552,1,1,0.160,-0.883
1,0.5,1,0.9166,1,1,0.223,-0.957
1,-1.5,0,0.7044,1,-1,0.101,-0.864
1,0.5,1,1.9603,1,1,1.403,-2.797
1,0.0,1,1.0135,1,1,0.022,-0.642
1,0.0,1,0.9376,1,1,0.288,-0.629
1,0.5,1,1.3061,1,1,-0.219,-0.628
1,1.5,1,0.6916,1,1,-0.169,-0.687
1,0.0,1,0.9459,1,1,0.155,-0.680
1,0.0,1,1.6211,1,1,0.722,-1.662
1,1.5,1,0.7485,1,1,0.190,-0.903
1,0.0,1,1.1476,1,1,-0.163,-0.531
1,0.0,1,2.0886,1,1,-0.168,-1.189
1,0.0,1,0.9571,1,1,0.455,-0.363
1,0.0,1,1.0060,1,1,0.192,-0.754
1,0.0,1,0.8037,1,1,0.202,-2.330
1,-0.5,0,0.8719,1,-1,-0.273,-1.287
1,-0.5,0,0.7739,1,-1,-0.279,-0.192
1,0.0,0,2.0730,1,-1,-0.498,-0.079
1,0.0,1,1.2874,1,1,0.164,-0.896
1,0.0,0,1.1071,1,-1,-0.347,-0.335
1,-0.5,1,1.0015,0,0,0.129,-0.053
1,0.0,1,0.9059,0,0,0.118,-0.338
1,0.0,0,0.8275,0,0,-0.275,0.323
1,1.5,1,0.9880,0,0,-0.115,-0.208
1,0.5,1,1.5659,0,0,0.061,-0.358
1,0.0,1,1.3262,0,0,0.299,0.093
1,0.0,1,1.7765,0,0,-0.341,0.230
1,0.0,1,0.9672,0,0,-0.063,-0.799
1,-0.5,0,0.9189,0,0,0.511,-2.280
1,0.0,1,0.8962,0,0,-0.215,-1.254
